2025-07-11 04:41:32.348 INFO  (qtp893591815-57-null-20) [c: s: r: x: t:null-20] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={json.nl=flat&wt=json} status=0 QTime=48
2025-07-11 04:41:32.388 INFO  (qtp893591815-28-null-21) [c: s: r: x:drupal t:null-21] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=2
2025-07-11 04:41:32.389 INFO  (qtp893591815-28-null-21) [c: s: r: x:drupal t:null-21] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=3
2025-07-11 04:41:32.405 INFO  (qtp893591815-58-null-22) [c: s: r: x:drupal t:null-22] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=3
2025-07-11 04:41:32.406 INFO  (qtp893591815-58-null-22) [c: s: r: x:drupal t:null-22] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=4
2025-07-11 04:41:32.484 INFO  (qtp893591815-29-null-23) [c: s: r: x:drupal t:null-23] o.a.s.c.S.Request webapp=/solr path=/admin/file params={json.nl=flat&wt=json} status=0 QTime=35
2025-07-11 04:41:32.502 INFO  (qtp893591815-31-null-24) [c: s: r: x:drupal t:null-24] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=schema_extra_types.xml&json.nl=flat&wt=json} status=0 QTime=6
2025-07-11 04:41:32.523 INFO  (qtp893591815-30-null-25) [c: s: r: x:drupal t:null-25] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=schema_extra_fields.xml&json.nl=flat&wt=json} status=0 QTime=5
2025-07-11 04:41:32.544 INFO  (qtp893591815-33-null-26) [c: s: r: x:drupal t:null-26] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_extra.xml&json.nl=flat&wt=json} status=0 QTime=5
2025-07-11 04:41:32.564 INFO  (qtp893591815-59-null-27) [c: s: r: x:drupal t:null-27] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_index.xml&json.nl=flat&wt=json} status=0 QTime=6
2025-07-11 04:41:32.581 INFO  (qtp893591815-55-null-28) [c: s: r: x:drupal t:null-28] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_query.xml&json.nl=flat&wt=json} status=0 QTime=5
2025-07-11 04:41:32.599 INFO  (qtp893591815-57-null-29) [c: s: r: x:drupal t:null-29] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_requestdispatcher.xml&json.nl=flat&wt=json} status=0 QTime=4
2025-07-11 04:41:32.619 INFO  (qtp893591815-28-null-30) [c: s: r: x:drupal t:null-30] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=elevate.xml&json.nl=flat&wt=json} status=0 QTime=6
2025-07-11 04:41:32.637 INFO  (qtp893591815-58-null-31) [c: s: r: x:drupal t:null-31] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=schema.xml&json.nl=flat&wt=json} status=0 QTime=6
2025-07-11 04:41:32.658 INFO  (qtp893591815-29-null-32) [c: s: r: x:drupal t:null-32] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig.xml&json.nl=flat&wt=json} status=0 QTime=5
2025-07-11 04:41:32.681 INFO  (qtp893591815-31-null-33) [c: s: r: x:drupal t:null-33] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=2
2025-07-11 04:41:32.682 INFO  (qtp893591815-31-null-33) [c: s: r: x:drupal t:null-33] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=3
